ITEM_NUMBER,AWARD_YEAR,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREVIATION,AWARDED_SERVICE,YCA_FARE,_CA_FARE,BUSINESS_FARE,EFFECTIVE_DATE,EXPIRATION_DATE
21,2014,ABQ,EWR,ALBUQUERQUE,NM,USA,NEWARK,NJ,USA,UA,C,188,0,0,10/1/2013 0:00,9/30/2014 0:00
22,2014,ABQ,HOU,ALBUQUERQUE,NM,USA,HOUSTON,TX,USA,WN,N,350,223,0,10/1/2013 0:00,9/30/2014 0:00
23,2014,ABQ,HSV,ALBUQUERQUE,NM,USA,HUNTSVILLE,AL,USA,DL,C,342,285,0,10/1/2013 0:00,9/30/2014 0:00
24,2014,ABQ,IAD,ALBUQUERQUE,NM,USA,WASHINGTON,DC,USA,UA,N,380,255,0,10/1/2013 0:00,9/30/2014 0:00
25,2014,ABQ,IAH,ALBUQUERQUE,NM,USA,HOUSTON,TX,USA,UA,N,287,191,0,10/1/2013 0:00,9/30/2014 0:00
27,2014,ABQ,LAS,ALBUQUERQUE,NM,USA,LAS VEGAS,NV,USA,WN,N,272,0,0,10/1/2013 0:00,9/30/2014 0:00
28,2014,ABQ,LAX,ALBUQUERQUE,NM,USA,LOS ANGELES,CA,USA,WN,N,207,138,0,10/1/2013 0:00,9/30/2014 0:00
29,2014,ABQ,MCI,ALBUQUERQUE,NM,USA,KANSAS CITY,MO,USA,WN,N,180,0,0,10/1/2013 0:00,9/30/2014 0:00
30,2014,ABQ,MCO,ALBUQUERQUE,NM,USA,ORLANDO,FL,USA,WN,N,223,0,0,10/1/2013 0:00,9/30/2014 0:00
31,2014,ABQ,MDW,ALBUQUERQUE,NM,USA,CHICAGO,IL,USA,WN,N,238,0,0,10/1/2013 0:00,9/30/2014 0:00
32,2014,ABQ,MSP,ALBUQUERQUE,NM,USA,MINNEAPOLIS-ST.PAUL,MN,USA,AA,C,256,128,0,10/1/2013 0:00,9/30/2014 0:00
33,2014,ABQ,OAK,ALBUQUERQUE,NM,USA,SAN FRANCISCO,CA,USA,WN,N,295,0,0,10/1/2013 0:00,9/30/2014 0:00
34,2014,ABQ,OKC,ALBUQUERQUE,NM,USA,OKLAHOMA CITY,OK,USA,AA,C,283,0,0,10/1/2013 0:00,9/30/2014 0:00
35,2014,ABQ,ORD,ALBUQUERQUE,NM,USA,CHICAGO,IL,USA,AA,N,317,212,0,10/1/2013 0:00,9/30/2014 0:00
36,2014,ABQ,PDX,ALBUQUERQUE,NM,USA,PORTLAND,OR,USA,WN,N,220,0,0,10/1/2013 0:00,9/30/2014 0:00
37,2014,ABQ,PHL,ALBUQUERQUE,NM,USA,PHILADELPHIA,PA,USA,AA,C,240,160,0,10/1/2013 0:00,9/30/2014 0:00
38,2014,ABQ,PHX,ALBUQUERQUE,NM,USA,PHOENIX/SCOTTSDALE,AZ,USA,WN,N,156,0,0,10/1/2013 0:00,9/30/2014 0:00
39,2014,ABQ,PIT,ALBUQUERQUE,NM,USA,PITTSBURGH,PA,USA,DL,C,268,168,0,10/1/2013 0:00,9/30/2014 0:00
40,2014,ABQ,SAN,ALBUQUERQUE,NM,USA,SAN DIEGO,CA,USA,WN,N,317,217,0,10/1/2013 0:00,9/30/2014 0:00
41,2014,ABQ,SAT,ALBUQUERQUE,NM,USA,SAN ANTONIO,TX,USA,WN,C,213,174,0,10/1/2013 0:00,9/30/2014 0:00
42,2014,ABQ,SEA,ALBUQUERQUE,NM,USA,SEATTLE-TACOMA,WA,USA,WN,N,219,0,0,10/1/2013 0:00,9/30/2014 0:00
43,2014,ABQ,SFO,ALBUQUERQUE,NM,USA,SAN FRANCISCO,CA,USA,UA,N,294,226,0,10/1/2013 0:00,9/30/2014 0:00
44,2014,ABQ,SHV,ALBUQUERQUE,NM,USA,SHREVEPORT,LA,USA,AA,C,525,225,0,10/1/2013 0:00,9/30/2014 0:00
45,2014,ABQ,SJC,ALBUQUERQUE,NM,USA,SAN JOSE,CA,USA,US,C,378,166,0,10/1/2013 0:00,9/30/2014 0:00
46,2014,ABQ,SLC,ALBUQUERQUE,NM,USA,SALT LAKE CITY,UT,USA,DL,N,342,228,0,10/1/2013 0:00,9/30/2014 0:00
47,2014,ABQ,SMF,ALBUQUERQUE,NM,USA,SACRAMENTO,CA,USA,WN,C,239,159,0,10/1/2013 0:00,9/30/2014 0:00
48,2014,ABQ,SNA,ALBUQUERQUE,NM,USA,ORANGE COUNTY,CA,USA,WN,C,241,0,0,10/1/2013 0:00,9/30/2014 0:00
49,2014,ABQ,STL,ALBUQUERQUE,NM,USA,ST. LOUIS,MO,USA,AA,C,162,135,0,10/1/2013 0:00,9/30/2014 0:00
50,2014,ABQ,TUS,ALBUQUERQUE,NM,USA,TUCSON,AZ,USA,US,C,199,169,0,10/1/2013 0:00,9/30/2014 0:00
51,2014,ABQ,TYS,ALBUQUERQUE,NM,USA,KNOXVILLE,TN,USA,AA,C,526,263,0,10/1/2013 0:00,9/30/2014 0:00
52,2014,ABQ,VPS,ALBUQUERQUE,NM,USA,FT. WALTON BEACH,FL,USA,AA,C,634,317,0,10/1/2013 0:00,9/30/2014 0:00
54,2014,ABR,MSP,ABERDEEN,SD,USA,MINNEAPOLIS-ST.PAUL,MN,USA,DL,N,269,0,0,10/1/2013 0:00,9/30/2014 0:00
55,2014,ABY,ATL,ALBANY,GA,USA,ATLANTA,GA,USA,DL,N,550,257,0,10/1/2013 0:00,9/30/2014 0:00
56,2014,ABY,DCA,ALBANY,GA,USA,WASHINGTON,DC,USA,DL,C,519,375,0,10/1/2013 0:00,9/30/2014 0:00
57,2014,ACT,DCA,WACO,TX,USA,WASHINGTON,DC,USA,AA,C,417,0,0,10/1/2013 0:00,9/30/2014 0:00
58,2014,ACV,SFO,ARCATA/EUREKA,CA,USA,SAN FRANCISCO,CA,USA,UA,N,531,408,0,10/1/2013 0:00,9/30/2014 0:00
59,2014,ACV,SMF,ARCATA/EUREKA,CA,USA,SACRAMENTO,CA,USA,UA,N,249,0,0,10/1/2013 0:00,9/30/2014 0:00
60,2014,ADQ,ANC,KODIAK,AK,USA,ANCHORAGE,AK,USA,AS,N,249,199,0,10/1/2013 0:00,9/30/2014 0:00
62,2014,AEX,BNA,ALEXANDRIA,LA,USA,NASHVILLE,TN,USA,DL,C,446,224,0,10/1/2013 0:00,9/30/2014 0:00
63,2014,AEX,DCA,ALEXANDRIA,LA,USA,WASHINGTON,DC,USA,DL,C,522,377,0,10/1/2013 0:00,9/30/2014 0:00
64,2014,AEX,DFW,ALEXANDRIA,LA,USA,DALLAS-FT. WORTH,TX,USA,AA,N,280,140,0,10/1/2013 0:00,9/30/2014 0:00
65,2014,AEX,IAH,ALEXANDRIA,LA,USA,HOUSTON,TX,USA,UA,N,353,321,0,10/1/2013 0:00,9/30/2014 0:00
66,2014,AEX,SAT,ALEXANDRIA,LA,USA,SAN ANTONIO,TX,USA,AA,C,336,280,0,10/1/2013 0:00,9/30/2014 0:00
67,2014,AEX,SAV,ALEXANDRIA,LA,USA,SAVANNAH,GA,USA,DL,C,476,387,0,10/1/2013 0:00,9/30/2014 0:00
69,2014,AGS,ATL,AUGUSTA,GA,USA,ATLANTA,GA,USA,DL,N,500,247,0,10/1/2013 0:00,9/30/2014 0:00
70,2014,AGS,BWI,AUGUSTA,GA,USA,WASHINGTON,DC,USA,US,C,267,197,0,10/1/2013 0:00,9/30/2014 0:00
71,2014,AGS,DCA,AUGUSTA,GA,USA,WASHINGTON,DC,USA,US,N,259,169,0,10/1/2013 0:00,9/30/2014 0:00
72,2014,AGS,ELP,AUGUSTA,GA,USA,EL PASO,TX,USA,DL,C,592,264,0,10/1/2013 0:00,9/30/2014 0:00
73,2014,AGS,IAD,AUGUSTA,GA,USA,WASHINGTON,DC,USA,DL,C,314,138,0,10/1/2013 0:00,9/30/2014 0:00
74,2014,AGS,SAT,AUGUSTA,GA,USA,SAN ANTONIO,TX,USA,DL,C,368,184,0,10/1/2013 0:00,9/30/2014 0:00
75,2014,AGS,SEA,AUGUSTA,GA,USA,SEATTLE-TACOMA,WA,USA,DL,C,317,227,0,10/1/2013 0:00,9/30/2014 0:00
76,2014,AKN,ANC,KING SALMON,AK,USA,ANCHORAGE,AK,USA,AS,N,266,0,0,10/1/2013 0:00,9/30/2014 0:00
77,2014,ALB,ATL,ALBANY,NY,USA,ATLANTA,GA,USA,WN,C,205,161,0,10/1/2013 0:00,9/30/2014 0:00
79,2014,ALB,DTW,ALBANY,NY,USA,DETROIT,MI,USA,DL,N,342,228,0,10/1/2013 0:00,9/30/2014 0:00
80,2014,ALB,FLL,ALBANY,NY,USA,FT. LAUDERDALE,FL,USA,WN,N,235,0,0,10/1/2013 0:00,9/30/2014 0:00
81,2014,ALB,IAD,ALBANY,NY,USA,WASHINGTON,DC,USA,UA,N,179,119,0,10/1/2013 0:00,9/30/2014 0:00
82,2014,ALB,JAX,ALBANY,NY,USA,JACKSONVILLE,FL,USA,DL,C,248,155,0,10/1/2013 0:00,9/30/2014 0:00
83,2014,ALB,LAS,ALBANY,NY,USA,LAS VEGAS,NV,USA,UA,C,149,0,0,10/1/2013 0:00,9/30/2014 0:00
84,2014,ALB,MCO,ALBANY,NY,USA,ORLANDO,FL,USA,WN,N,210,0,0,10/1/2013 0:00,9/30/2014 0:00
85,2014,ALB,MDW,ALBANY,NY,USA,CHICAGO,IL,USA,WN,N,240,0,0,10/1/2013 0:00,9/30/2014 0:00
86,2014,ALB,MSP,ALBANY,NY,USA,MINNEAPOLIS-ST.PAUL,MN,USA,DL,N,372,248,0,10/1/2013 0:00,9/30/2014 0:00
87,2014,ALB,ORD,ALBANY,NY,USA,CHICAGO,IL,USA,DL,C,286,151,0,10/1/2013 0:00,9/30/2014 0:00
90,2014,ALW,SEA,WALLA WALLA,WA,USA,SEATTLE-TACOMA,WA,USA,AS,N,179,0,0,10/1/2013 0:00,9/30/2014 0:00
91,2014,AMA,DAL,AMARILLO,TX,USA,DALLAS-FT. WORTH,TX,USA,WN,N,188,0,0,10/1/2013 0:00,9/30/2014 0:00
92,2014,AMA,DCA,AMARILLO,TX,USA,WASHINGTON,DC,USA,AA,C,340,284,0,10/1/2013 0:00,9/30/2014 0:00
93,2014,AMA,DFW,AMARILLO,TX,USA,DALLAS-FT. WORTH,TX,USA,AA,N,284,0,0,10/1/2013 0:00,9/30/2014 0:00
94,2014,ANC,ATL,ANCHORAGE,AK,USA,ATLANTA,GA,USA,AS,C,499,349,0,10/1/2013 0:00,9/30/2014 0:00
95,2014,ANC,BET,ANCHORAGE,AK,USA,BETHEL,AK,USA,AS,N,249,0,0,10/1/2013 0:00,9/30/2014 0:00
96,2014,ANC,BOI,ANCHORAGE,AK,USA,BOISE,ID,USA,AS,C,479,0,0,10/1/2013 0:00,9/30/2014 0:00
97,2014,ANC,BOS,ANCHORAGE,AK,USA,BOSTON,MA,USA,DL,C,474,176,0,10/1/2013 0:00,9/30/2014 0:00
98,2014,ANC,BRW,ANCHORAGE,AK,USA,BARROW,AK,USA,AS,N,356,0,0,10/1/2013 0:00,9/30/2014 0:00
100,2014,ANC,CDV,ANCHORAGE,AK,USA,CORDOVA,AK,USA,AS,N,199,0,0,10/1/2013 0:00,9/30/2014 0:00
101,2014,ANC,DEN,ANCHORAGE,AK,USA,DENVER,CO,USA,AS,N,399,229,0,10/1/2013 0:00,9/30/2014 0:00
102,2014,ANC,DFW,ANCHORAGE,AK,USA,DALLAS-FT. WORTH,TX,USA,AS,C,419,229,0,10/1/2013 0:00,9/30/2014 0:00
103,2014,ANC,EWR,ANCHORAGE,AK,USA,NEWARK,NJ,USA,DL,C,474,427,0,10/1/2013 0:00,9/30/2014 0:00
104,2014,ANC,FAI,ANCHORAGE,AK,USA,FAIRBANKS,AK,USA,AS,N,179,134,0,10/1/2013 0:00,9/30/2014 0:00
105,2014,ANC,HNL,ANCHORAGE,AK,USA,HONOLULU,HI,USA,AS,N,529,399,0,10/1/2013 0:00,9/30/2014 0:00
106,2014,ANC,IAD,ANCHORAGE,AK,USA,WASHINGTON,DC,USA,DL,C,500,343,0,10/1/2013 0:00,9/30/2014 0:00
107,2014,ANC,IAH,ANCHORAGE,AK,USA,HOUSTON,TX,USA,DL,C,424,338,0,10/1/2013 0:00,9/30/2014 0:00
108,2014,ANC,JNU,ANCHORAGE,AK,USA,JUNEAU,AK,USA,AS,N,249,209,0,10/1/2013 0:00,9/30/2014 0:00
109,2014,ANC,KTN,ANCHORAGE,AK,USA,KETCHIKAN,AK,USA,AS,C,349,299,0,10/1/2013 0:00,9/30/2014 0:00
110,2014,ANC,LAS,ANCHORAGE,AK,USA,LAS VEGAS,NV,USA,AS,C,379,229,0,10/1/2013 0:00,9/30/2014 0:00
111,2014,ANC,LAX,ANCHORAGE,AK,USA,LOS ANGELES,CA,USA,AS,N,529,439,0,10/1/2013 0:00,9/30/2014 0:00
112,2014,ANC,MSP,ANCHORAGE,AK,USA,MINNEAPOLIS-ST.PAUL,MN,USA,AS,C,459,249,0,10/1/2013 0:00,9/30/2014 0:00
113,2014,ANC,OME,ANCHORAGE,AK,USA,NOME,AK,USA,AS,N,304,279,0,10/1/2013 0:00,9/30/2014 0:00
114,2014,ANC,ORD,ANCHORAGE,AK,USA,CHICAGO,IL,USA,AS,N,499,399,0,10/1/2013 0:00,9/30/2014 0:00
115,2014,ANC,OTZ,ANCHORAGE,AK,USA,KOTZEBUE,AK,USA,AS,N,309,279,0,10/1/2013 0:00,9/30/2014 0:00
116,2014,ANC,PDX,ANCHORAGE,AK,USA,PORTLAND,OR,USA,AS,N,499,379,0,10/1/2013 0:00,9/30/2014 0:00
117,2014,ANC,PHX,ANCHORAGE,AK,USA,PHOENIX/SCOTTSDALE,AZ,USA,US,N,591,440,0,10/1/2013 0:00,9/30/2014 0:00
118,2014,ANC,SAN,ANCHORAGE,AK,USA,SAN DIEGO,CA,USA,AS,C,549,339,0,10/1/2013 0:00,9/30/2014 0:00
119,2014,ANC,SEA,ANCHORAGE,AK,USA,SEATTLE-TACOMA,WA,USA,AS,N,399,339,0,10/1/2013 0:00,9/30/2014 0:00
120,2014,ANC,SFO,ANCHORAGE,AK,USA,SAN FRANCISCO,CA,USA,AS,C,490,399,0,10/1/2013 0:00,9/30/2014 0:00
121,2014,ANC,SIT,ANCHORAGE,AK,USA,SITKA,AK,USA,AS,C,275,0,0,10/1/2013 0:00,9/30/2014 0:00
122,2014,ANC,SLC,ANCHORAGE,AK,USA,SALT LAKE CITY,UT,USA,AS,C,499,399,0,10/1/2013 0:00,9/30/2014 0:00
123,2014,ANC,SMF,ANCHORAGE,AK,USA,SACRAMENTO,CA,USA,AS,C,509,399,0,10/1/2013 0:00,9/30/2014 0:00
126,2014,ANC,YAK,ANCHORAGE,AK,USA,YAKUTAT,AK,USA,AS,C,230,0,0,10/1/2013 0:00,9/30/2014 0:00
127,2014,ART,ORD,WATERTOWN,NY,USA,CHICAGO,IL,USA,AA,N,195,0,0,10/1/2013 0:00,9/30/2014 0:00
128,2014,ATL,ATW,ATLANTA,GA,USA,APPLETON,WI,USA,DL,N,424,285,0,10/1/2013 0:00,9/30/2014 0:00
129,2014,ATL,AUS,ATLANTA,GA,USA,AUSTIN,TX,USA,DL,N,229,124,0,10/1/2013 0:00,9/30/2014 0:00
130,2014,ATL,AVL,ATLANTA,GA,USA,ASHEVILLE,NC,USA,DL,N,560,333,0,10/1/2013 0:00,9/30/2014 0:00
131,2014,ATL,AVP,ATLANTA,GA,USA,SCRANTON,PA,USA,DL,N,524,411,0,10/1/2013 0:00,9/30/2014 0:00
132,2014,ATL,BDL,ATLANTA,GA,USA,HARTFORD,CT,USA,UA,C,176,0,0,10/1/2013 0:00,9/30/2014 0:00
133,2014,ATL,BHM,ATLANTA,GA,USA,BIRMINGHAM,AL,USA,DL,N,560,333,0,10/1/2013 0:00,9/30/2014 0:00
134,2014,ATL,BMI,ATLANTA,GA,USA,BLOOMINGTON,IL,USA,DL,N,209,174,0,10/1/2013 0:00,9/30/2014 0:00
136,2014,ATL,BOI,ATLANTA,GA,USA,BOISE,ID,USA,DL,C,365,304,0,10/1/2013 0:00,9/30/2014 0:00
137,2014,ATL,BOS,ATLANTA,GA,USA,BOSTON,MA,USA,WN,N,184,144,0,10/1/2013 0:00,9/30/2014 0:00
138,2014,ATL,BQK,ATLANTA,GA,USA,BRUNSWICK,GA,USA,DL,N,541,340,0,10/1/2013 0:00,9/30/2014 0:00
139,2014,ATL,BTR,ATLANTA,GA,USA,BATON ROUGE,LA,USA,DL,N,667,382,0,10/1/2013 0:00,9/30/2014 0:00
140,2014,ATL,BUF,ATLANTA,GA,USA,BUFFALO,NY,USA,DL,N,190,146,0,10/1/2013 0:00,9/30/2014 0:00
141,2014,ATL,BWI,ATLANTA,GA,USA,WASHINGTON,DC,USA,WN,N,175,135,0,10/1/2013 0:00,9/30/2014 0:00
143,2014,ATL,CAK,ATLANTA,GA,USA,AKRON,OH,USA,WN,N,175,122,0,10/1/2013 0:00,9/30/2014 0:00
144,2014,ATL,CHO,ATLANTA,GA,USA,CHARLOTTESVILLE,VA,USA,DL,N,330,220,0,10/1/2013 0:00,9/30/2014 0:00
145,2014,ATL,CHS,ATLANTA,GA,USA,CHARLESTON,SC,USA,DL,N,419,263,0,10/1/2013 0:00,9/30/2014 0:00
146,2014,ATL,CID,ATLANTA,GA,USA,CEDAR RAPIDS,IA,USA,DL,N,419,314,0,10/1/2013 0:00,9/30/2014 0:00
147,2014,ATL,CLE,ATLANTA,GA,USA,CLEVELAND,OH,USA,UA,N,360,0,0,10/1/2013 0:00,9/30/2014 0:00
148,2014,ATL,CLT,ATLANTA,GA,USA,CHARLOTTE,NC,USA,DL,N,135,90,0,10/1/2013 0:00,9/30/2014 0:00
149,2014,ATL,CMH,ATLANTA,GA,USA,COLUMBUS,OH,USA,WN,N,155,110,0,10/1/2013 0:00,9/30/2014 0:00
150,2014,ATL,COS,ATLANTA,GA,USA,COLORADO SPRINGS,CO,USA,DL,N,441,266,0,10/1/2013 0:00,9/30/2014 0:00
152,2014,ATL,CRW,ATLANTA,GA,USA,CHARLESTON,WV,USA,DL,N,516,300,0,10/1/2013 0:00,9/30/2014 0:00
155,2014,ATL,DAB,ATLANTA,GA,USA,DAYTONA BEACH,FL,USA,DL,N,597,379,0,10/1/2013 0:00,9/30/2014 0:00
156,2014,ATL,DAL,ATLANTA,GA,USA,DALLAS-FT. WORTH,TX,USA,DL,N,357,238,0,10/1/2013 0:00,9/30/2014 0:00
157,2014,ATL,DAY,ATLANTA,GA,USA,DAYTON,OH,USA,WN,N,113,0,0,10/1/2013 0:00,9/30/2014 0:00
158,2014,ATL,DCA,ATLANTA,GA,USA,WASHINGTON,DC,USA,DL,N,187,142,0,10/1/2013 0:00,9/30/2014 0:00
159,2014,ATL,DEN,ATLANTA,GA,USA,DENVER,CO,USA,WN,N,220,109,0,10/1/2013 0:00,9/30/2014 0:00
160,2014,ATL,DFW,ATLANTA,GA,USA,DALLAS-FT. WORTH,TX,USA,DL,N,207,104,0,10/1/2013 0:00,9/30/2014 0:00
161,2014,ATL,DHN,ATLANTA,GA,USA,DOTHAN,AL,USA,DL,N,350,280,0,10/1/2013 0:00,9/30/2014 0:00
162,2014,ATL,DSM,ATLANTA,GA,USA,DES MOINES,IA,USA,DL,N,397,246,0,10/1/2013 0:00,9/30/2014 0:00
163,2014,ATL,DTW,ATLANTA,GA,USA,DETROIT,MI,USA,WN,N,174,129,0,10/1/2013 0:00,9/30/2014 0:00
164,2014,ATL,ECP,ATLANTA,GA,USA,PANAMA CITY,FL,USA,DL,N,590,316,0,10/1/2013 0:00,9/30/2014 0:00
165,2014,ATL,ELP,ATLANTA,GA,USA,EL PASO,TX,USA,DL,N,512,270,0,10/1/2013 0:00,9/30/2014 0:00
166,2014,ATL,EVV,ATLANTA,GA,USA,EVANSVILLE,IN,USA,DL,N,634,360,0,10/1/2013 0:00,9/30/2014 0:00
167,2014,ATL,EWN,ATLANTA,GA,USA,NEW BERN,NC,USA,DL,N,450,314,0,10/1/2013 0:00,9/30/2014 0:00
168,2014,ATL,EWR,ATLANTA,GA,USA,NEWARK,NJ,USA,UA,N,370,275,0,10/1/2013 0:00,9/30/2014 0:00
169,2014,ATL,EYW,ATLANTA,GA,USA,KEY WEST,FL,USA,AA,C,229,114,0,10/1/2013 0:00,9/30/2014 0:00
170,2014,ATL,FAY,ATLANTA,GA,USA,FAYETTEVILLE,NC,USA,DL,N,488,332,0,10/1/2013 0:00,9/30/2014 0:00
171,2014,ATL,FLL,ATLANTA,GA,USA,FT. LAUDERDALE,FL,USA,WN,N,123,0,0,10/1/2013 0:00,9/30/2014 0:00
172,2014,ATL,FNT,ATLANTA,GA,USA,FLINT,MI,USA,DL,N,357,238,0,10/1/2013 0:00,9/30/2014 0:00
174,2014,ATL,FWA,ATLANTA,GA,USA,FT. WAYNE,IN,USA,DL,N,580,351,0,10/1/2013 0:00,9/30/2014 0:00
175,2014,ATL,GEG,ATLANTA,GA,USA,SPOKANE,WA,USA,AS,C,399,199,0,10/1/2013 0:00,9/30/2014 0:00
176,2014,ATL,GNV,ATLANTA,GA,USA,GAINESVILLE,FL,USA,DL,N,620,344,0,10/1/2013 0:00,9/30/2014 0:00
177,2014,ATL,GPT,ATLANTA,GA,USA,GULFPORT,MS,USA,DL,N,385,300,0,10/1/2013 0:00,9/30/2014 0:00
178,2014,ATL,GRK,ATLANTA,GA,USA,KILLEEN GRAY AAF,TX,USA,DL,N,479,314,0,10/1/2013 0:00,9/30/2014 0:00
179,2014,ATL,GRR,ATLANTA,GA,USA,GRAND RAPIDS,MI,USA,AA,C,280,140,0,10/1/2013 0:00,9/30/2014 0:00
180,2014,ATL,GSO,ATLANTA,GA,USA,GREENSBORO,NC,USA,DL,N,470,274,0,10/1/2013 0:00,9/30/2014 0:00
181,2014,ATL,GSP,ATLANTA,GA,USA,GREENVILLE,SC,USA,DL,N,310,248,0,10/1/2013 0:00,9/30/2014 0:00
182,2014,ATL,GTR,ATLANTA,GA,USA,COLUMBUS,MS,USA,DL,N,560,317,0,10/1/2013 0:00,9/30/2014 0:00
183,2014,ATL,HNL,ATLANTA,GA,USA,HONOLULU,HI,USA,DL,N,850,473,0,10/1/2013 0:00,9/30/2014 0:00
184,2014,ATL,HOU,ATLANTA,GA,USA,HOUSTON,TX,USA,WN,N,172,140,0,10/1/2013 0:00,9/30/2014 0:00
185,2014,ATL,HPN,ATLANTA,GA,USA,WHITE PLAINS,NY,USA,DL,N,229,149,0,10/1/2013 0:00,9/30/2014 0:00
186,2014,ATL,HSV,ATLANTA,GA,USA,HUNTSVILLE,AL,USA,DL,N,550,300,0,10/1/2013 0:00,9/30/2014 0:00
187,2014,ATL,IAD,ATLANTA,GA,USA,WASHINGTON,DC,USA,UA,N,146,113,0,10/1/2013 0:00,9/30/2014 0:00
188,2014,ATL,IAH,ATLANTA,GA,USA,HOUSTON,TX,USA,UA,N,390,347,0,10/1/2013 0:00,9/30/2014 0:00
189,2014,ATL,ICT,ATLANTA,GA,USA,WICHITA,KS,USA,AA,C,204,102,0,10/1/2013 0:00,9/30/2014 0:00
190,2014,ATL,ILM,ATLANTA,GA,USA,WILMINGTON,NC,USA,DL,N,500,318,0,10/1/2013 0:00,9/30/2014 0:00
191,2014,ATL,IND,ATLANTA,GA,USA,INDIANAPOLIS,IN,USA,WN,N,143,103,0,10/1/2013 0:00,9/30/2014 0:00
193,2014,ATL,JAX,ATLANTA,GA,USA,JACKSONVILLE,FL,USA,WN,N,148,101,0,10/1/2013 0:00,9/30/2014 0:00
194,2014,ATL,JFK,ATLANTA,GA,USA,NEW YORK,NY,USA,DL,N,363,242,0,10/1/2013 0:00,9/30/2014 0:00
195,2014,ATL,LAS,ATLANTA,GA,USA,LAS VEGAS,NV,USA,WN,N,242,158,0,10/1/2013 0:00,9/30/2014 0:00
196,2014,ATL,LAW,ATLANTA,GA,USA,LAWTON,OK,USA,AA,C,336,0,0,10/1/2013 0:00,9/30/2014 0:00
197,2014,ATL,LAX,ATLANTA,GA,USA,LOS ANGELES,CA,USA,WN,N,236,160,0,10/1/2013 0:00,9/30/2014 0:00
199,2014,ATL,LFT,ATLANTA,GA,USA,LAFAYETTE,LA,USA,DL,N,667,402,0,10/1/2013 0:00,9/30/2014 0:00
200,2014,ATL,LGA,ATLANTA,GA,USA,NEW YORK,NY,USA,AA,N,208,104,0,10/1/2013 0:00,9/30/2014 0:00
202,2014,ATL,MCI,ATLANTA,GA,USA,KANSAS CITY,MO,USA,WN,N,165,118,0,10/1/2013 0:00,9/30/2014 0:00
203,2014,ATL,MCO,ATLANTA,GA,USA,ORLANDO,FL,USA,WN,N,156,109,0,10/1/2013 0:00,9/30/2014 0:00
